n,phrase,expected_level,expected_phase,category,notes,actual_level,actual_score,override,llm_used,bayesian_score,bayesian_class,verdict
1,te pago 15000 a la semana de halcón,ATENCION_OR_PELIGRO,1,aggressor_canon,money+role,ATENCION,0.370,False,False,0.300,captacion,PASS
2,te ofrezco chamba fácil,ATENCION_OR_PELIGRO,1,aggressor_canon,fake_job,ATENCION,0.405,False,False,0.415,captacion,PASS
3,hay jale para ti,ATENCION_OR_PELIGRO,1,cartel_jerga,jale=trabajo,ATENCION,0.350,False,False,0.350,captacion,PASS
4,se solicita gente para la mana,ATENCION_OR_PELIGRO,1,cartel_jerga,mana=cartel,ATENCION,0.300,False,False,0.300,captacion,PASS
5,trabajo para las 4 letras,ATENCION_OR_PELIGRO,1,cartel_jerga,4letras=cartel,ATENCION,0.301,False,False,0.301,captacion,PASS
6,me ofrecieron 15000 pesos a la semana,ATENCION_OR_PELIGRO,1,victim_offer,money_received,ATENCION,0.370,False,False,0.300,captacion,PASS
7,me ofrecieron jale en TikTok,ATENCION_OR_PELIGRO,1,victim_offer,platform+jale,ATENCION,0.370,False,False,0.300,captacion,PASS
8,alguien me escribió ofreciendo dinero,ATENCION_OR_PELIGRO,1,victim_offer,stranger_offer,ATENCION,0.313,False,False,0.313,captacion,PASS
9,un desconocido me contactó por Instagram,ATENCION_OR_PELIGRO,1,victim_offer,stranger_platform,ATENCION,0.300,False,False,0.300,captacion,PASS
10,me ofrecieron lana fácil,ATENCION_OR_PELIGRO,1,victim_jerga,money_slang,ATENCION,0.370,False,False,0.300,captacion,PASS
11,me prometieron pago semanal,ATENCION_OR_PELIGRO,1,victim_offer,promise,ATENCION,0.301,False,False,0.305,captacion,PASS
12,me invitaron a un jale,ATENCION_OR_PELIGRO,1,victim_jerga,invitation,ATENCION,0.370,False,False,0.300,captacion,PASS
13,vi un anuncio de dinero fácil en redes,ATENCION_OR_PELIGRO,1,victim_ad,platform_ad,ATENCION,0.370,False,False,0.300,captacion,PASS
14,me agregaron de la nada y me ofrecieron trabajo,ATENCION_OR_PELIGRO,1,victim_offer,stranger_addd,ATENCION,0.370,False,False,0.300,captacion,PASS
15,me dijeron que ganaba 20 mil semanales,ATENCION_OR_PELIGRO,1,victim_offer,promise_high,ATENCION,0.300,False,False,0.300,captacion,PASS
